
Opening Error Output File (MD2ERROR.TXT) on Thu Jan 09 16:46:56.330, 2003


columns = 40, rows = 40
col_vstep = 102.564102, row_vstep = 102.564102
col_tstep=6.538462, row_tstep=6.538462
num_vertices = 1600, num_polys = 3042
Vertex 285: V[-1487.179443, 189.411774, -1282.051270], T[32.692307, 45.769234]
Vertex 286: V[-1384.615356, 233.333344, -1282.051270], T[39.230770, 45.769234]
Vertex 287: V[-1282.051270, 233.333344, -1282.051270], T[45.769234, 45.769234]
Vertex 288: V[-1179.487183, 192.156876, -1282.051270], T[52.307693, 45.769234]
Vertex 289: V[-1076.923096, 126.274521, -1282.051270], T[58.846153, 45.769234]
Vertex 290: V[-974.359009, 63.137260, -1282.051270], T[65.384613, 45.769234]
Vertex 291: V[-871.794861, 30.196081, -1282.051270], T[71.923080, 45.769234]
Vertex 292: V[-769.230774, 19.215687, -1282.051270], T[78.461540, 45.769234]
Vertex 293: V[-666.666687, 16.470589, -1282.051270], T[85.000000, 45.769234]
Vertex 294: V[-564.102539, 8.235294, -1282.051270], T[91.538467, 45.769234]
Vertex 295: V[-461.538452, 2.745098, -1282.051270], T[98.076927, 45.769234]
Vertex 296: V[-358.974365, 5.490196, -1282.051270], T[104.615387, 45.769234]
Vertex 297: V[-256.410278, 24.705883, -1282.051270], T[111.153847, 45.769234]
Vertex 298: V[-153.846161, 52.156864, -1282.051270], T[117.692307, 45.769234]
Vertex 299: V[-51.282059, 74.117653, -1282.051270], T[124.230774, 45.769234]
Vertex 300: V[51.282043, 79.607849, -1282.051270], T[130.769226, 45.769234]
Vertex 301: V[153.846146, 68.627457, -1282.051270], T[137.307693, 45.769234]
Vertex 302: V[256.410248, 52.156864, -1282.051270], T[143.846161, 45.769234]
Vertex 303: V[358.974365, 32.941177, -1282.051270], T[150.384613, 45.769234]
Vertex 304: V[461.538452, 19.215687, -1282.051270], T[156.923080, 45.769234]
Vertex 305: V[564.102539, 13.725491, -1282.051270], T[163.461548, 45.769234]
Vertex 306: V[666.666626, 16.470589, -1282.051270], T[170.000000, 45.769234]
Vertex 307: V[769.230774, 13.725491, -1282.051270], T[176.538467, 45.769234]
Vertex 308: V[871.794861, 8.235294, -1282.051270], T[183.076935, 45.769234]
Vertex 309: V[974.358948, 2.745098, -1282.051270], T[189.615387, 45.769234]
Vertex 310: V[1076.923096, 0.000000, -1282.051270], T[196.153854, 45.769234]
Vertex 311: V[1179.487183, 0.000000, -1282.051270], T[202.692307, 45.769234]
Vertex 312: V[1282.051270, 0.000000, -1282.051270], T[209.230774, 45.769234]
